time,PM 2.5,PM 10
2018-09-25 23:50:00,25.6965517241,29.9327586207
2018-09-25 23:51:00,25.3683333333,28.595
2018-09-25 23:52:00,25.65,30.8816666667
2018-09-25 23:53:00,26.0033333333,29.4916666667
2018-09-25 23:54:00,25.8566666667,28.6933333333
2018-09-25 23:55:00,26.5721311475,29.537704918
2018-09-25 23:56:00,24.5466666667,30.54
2018-09-25 23:57:00,25.5316666667,32.2183333333
2018-09-25 23:58:00,27.0283333333,33.74
2018-09-25 23:59:00,26.5083333333,30.985
2018-09-26 00:00:00,28.2413793103,34.8775862069
2018-09-26 00:01:00,26.8833333333,33.9116666667
2018-09-26 00:02:00,25.5183333333,30.9583333333
2018-09-26 00:03:00,26.2229508197,31.4295081967
2018-09-26 00:04:00,26.9483333333,29.06
2018-09-26 00:05:00,28.4983333333,31.99
2018-09-26 00:06:00,26.5266666667,29.4333333333
2018-09-26 00:07:00,26.135,30.1483333333
2018-09-26 00:08:00,29.715,32.3633333333
2018-09-26 00:09:00,27.5233333333,30.3866666667
2018-09-26 00:10:00,27.5220338983,30.1576271186
2018-09-26 00:11:00,26.5633333333,30.01
2018-09-26 00:12:00,25.7383333333,29.27
2018-09-26 00:13:00,26.375,30.65
2018-09-26 00:14:00,28.4216666667,32.5266666667
2018-09-26 00:15:00,25.635,30.8466666667
2018-09-26 00:16:00,26.3533333333,31.1166666667
2018-09-26 00:17:00,26.9901639344,29.3540983607
2018-09-26 00:18:00,26.2633333333,28.5866666667
2018-09-26 00:19:00,26.285,28.39
2018-09-26 00:20:00,28.4431034483,33.7517241379
2018-09-26 00:21:00,27.8066666667,29.79
2018-09-26 00:22:00,26.115,33.9766666667
2018-09-26 00:23:00,27.5133333333,29.8466666667
2018-09-26 00:24:00,28.3016666667,30.245
2018-09-26 00:25:00,29.4081967213,32.6344262295
2018-09-26 00:26:00,29.895,34.715
2018-09-26 00:27:00,29.095,34.0133333333
2018-09-26 00:28:00,30.26,35.26
2018-09-26 00:29:00,31.84,36.0283333333
2018-09-26 00:30:00,31.2527272727,35.2236363636
2018-09-26 00:31:00,28.7266666667,33.2733333333
2018-09-26 00:32:00,28.7426229508,31.5180327869
2018-09-26 00:33:00,28.3116666667,32.05
2018-09-26 00:34:00,26.85,28.4916666667
2018-09-26 00:35:00,28.1083333333,31.1566666667
2018-09-26 00:36:00,30.31,31.8966666667
2018-09-26 00:37:00,29.7466666667,32.4933333333
2018-09-26 00:38:00,28.525,31.32
2018-09-26 00:39:00,30.0933333333,33.105
2018-09-26 00:40:00,30.1457627119,33.4593220339
2018-09-26 00:41:00,31.015,36.45
2018-09-26 00:42:00,32.5483333333,37.205
2018-09-26 00:43:00,30.0216666667,34.18
2018-09-26 00:44:00,26.7616666667,31.4733333333
2018-09-26 00:45:00,28.1483333333,30.1483333333
2018-09-26 00:46:00,28.3083333333,29.86
2018-09-26 00:47:00,29.4901639344,31.4491803279
2018-09-26 00:48:00,30.335,33.4933333333
2018-09-26 00:49:00,31.28,35.3716666667
2018-09-26 00:50:00,31.6381818182,38.4654545455
2018-09-26 00:51:00,31.76,36.9166666667
2018-09-26 00:52:00,31.6616666667,36.6866666667
2018-09-26 00:53:00,31.575,35.405
2018-09-26 00:54:00,32.0716666667,36.8833333333
2018-09-26 00:55:00,30.0770491803,34.5639344262
2018-09-26 00:56:00,30.4533333333,35.0266666667
2018-09-26 00:57:00,29.4316666667,31.35
2018-09-26 00:58:00,28.6433333333,30.3466666667
2018-09-26 00:59:00,29.7416666667,32.8566666667
2018-09-26 01:00:00,31.1456140351,33.9368421053
2018-09-26 01:01:00,30.9916666667,36.5433333333
2018-09-26 01:02:00,29.2868852459,35.568852459
2018-09-26 01:03:00,30.005,35.4733333333
2018-09-26 01:04:00,32.63,35.1583333333
2018-09-26 01:05:00,28.78,34.09
2018-09-26 01:06:00,30.1016666667,35.4783333333
