time	Area	Orientation	MajorAxisLength	MinorAxisLength	MaxIntensity	MeanIntensity	Ellipticity	xCentroid	yCentroid	xCenter	yCenter	year	month	day	hour	minute	ALT	avgV	avgD	class	clust	event
727202.125	112	-28.1555927970135	19.8518252208331	11.6316891234282	11.4987345468194	7.14517919624332	0.58592542469201	26.0178571428571	10.1607142857143	225017.857142857	629839.285714286	1991	1	4	3	0	35	14.4	281.4	0	1	1
727202.128472222	94	-76.6156789968183	14.3818592363029	9.95193975251847	11.3863256076213	6.87449508000624	0.691978664858412	33.6276595744681	12.531914893617	232627.659574468	627468.085106383	1991	1	4	3	5	35	16	278	0	1	1
727202.131944445	85	-83.6702282425046	21.1419053583771	7.16789260626076	10.7051589227945	7.47542044630184	0.339037209975051	38.6470588235294	7.97647058823529	237647.058823529	632023.529411765	1991	1	4	3	10	35	18.8571428571429	243.428571428571	0	1	1
727202.135416667	64	-78.6836799689115	24.5048278010759	5.87170810806228	12.6458710106687	7.00359066908588	0.23961433868164	41.5625	9.59375	240562.5	630406.25	1991	1	4	3	15	35	18	252.857142857143	0	1	1
727202.138888889	8	0	5.03322295684717	2.25462487641145	11.9337659998469	8.76849486305788	0.447948540277611	42	1.375	241000	638625	1991	1	4	3	20	35	15.4285714285714	251.571428571429	0	1	1
727202.267361111	35	76.6371721977948	8.32360671368446	5.99507903504626	13.7752086778073	8.32052566371365	0.72025015612403	11.2	23.4857142857143	210200	616514.285714286	1991	1	4	6	25	10	16.5	278.5	0	1	1
727202.270833333	24	-85.7411737763327	9.30695350156437	3.82136608321434	11.1267034191697	7.19344889171812	0.410592583552934	35.75	28.1666666666667	234750	611833.333333333	1991	1	4	6	30	10	17.1428571428571	283.285714285714	0	1	1
727206.586805556	11	48.7973216842957	5.31639675509447	2.87294829026023	13.3962465877592	9.61286542649153	0.540393883791161	29.4545454545455	24.3636363636364	228454.545454545	615636.363636364	1991	1	8	14	5	0	0	0	0	3	2
727206.597222222	18	-35.2841453132521	6.00564483245859	4.14923857637125	15.7085307664739	9.71551455500781	0.690889769895473	34	24.9444444444444	233000	615055.555555556	1991	1	8	14	20	15	6.6	310.2	0	3	2
727206.600694445	8	45	3.65148371670111	2.97209241668783	11.8778975119901	9.8425152045493	0.813941029804985	32.875	22.875	231875	617125	1991	1	8	14	25	15	7.5	310.5	0	3	2
727206.604166667	21	-56.5689229030478	9.59858442887822	3.35416113452307	15.5896764928827	7.90907390094587	0.349443312123376	35.1904761904762	26.047619047619	234190.476190476	613952.380952381	1991	1	8	14	30	15	7.71428571428571	306	0	3	2
727206.621527778	10	18.2222208782935	4.68588428673803	3.0048552574073	21.4106775917102	13.9850863431694	0.641256820171942	14.7	80.2	213700	559800	1991	1	8	14	55	15	9	311.142857142857	0	3	2
727206.625	11	15.0706927760377	4.49690773447605	3.27750029068392	11.8112629490126	10.3642008865322	0.72883423103316	16.3636363636364	80.9090909090909	215363.636363636	559090.909090909	1991	1	8	15	0	15	8.57142857142857	312.857142857143	0	3	2
727206.628472222	6	90	3.46410161513775	2.3094010767585	11.3398430034049	8.66118453473134	0.666666666666667	17.5	82	216500	558000	1991	1	8	15	5	15	8.57142857142857	319.285714285714	0	3	2
727484.746527778	308	-10.5115855513724	32.9746621211495	14.7805612276715	141.050974569425	30.3948057755421	0.448239959923394	14.9707792207792	90.4577922077922	213970.779220779	549542.207792208	1991	10	13	17	55	145	11.5714285714286	257.142857142857	0	3	3
727484.75	258	0.845392757406589	30.6792652338293	13.4599331674134	117.758489414153	24.5836943865841	0.438730623593013	15.2248062015504	86.3759689922481	214224.80620155	553624.031007752	1991	10	13	18	0	145	12	257.142857142857	0	3	3
727484.75	6	0	3.46410161513775	2.3094010767585	15.3211838053197	12.7616728510373	0.666666666666667	28	77.5	227000	562500	1991	10	13	18	0	145	12	257.142857142857	0	3	3
727484.753472222	204	11.8585797578289	26.3410865189142	14.9252625580124	134.588054717504	20.5141143421478	0.566615296878331	22.9901960784314	80.5245098039216	221990.196078431	559475.490196078	1991	10	13	18	5	145	12	257.142857142857	0	3	3
727484.756944445	151	15.8482265381025	25.4972982473932	11.5315376281667	52.9473615788415	13.9954966846494	0.452265079863732	26.5761589403974	76.4039735099338	225576.158940397	563596.026490066	1991	10	13	18	10	145	12	257.142857142857	0	3	3
727484.760416667	36	24.7095103025619	10.5519862023358	4.55027140968143	14.0402289477237	9.0191522471556	0.431224162203147	36.0555555555556	70.7222222222222	235055.555555556	569277.777777778	1991	10	13	18	15	145	12.4285714285714	257.142857142857	0	3	3
727484.760416667	10	26.565051177078	4.53137212479105	2.92118697336089	25.9015275305392	18.033430152439	0.644658371220304	36.5	62	235500	578000	1991	10	13	18	15	0	12.4285714285714	257.142857142857	0	3	3
727484.788194445	92	49.9022960370571	15.2031521631076	8.99976995969627	16.4422473359446	9.89351089362171	0.591967367236867	7.72826086956522	86.8260869565217	206728.260869565	553173.913043478	1991	10	13	18	55	25	9.42857142857143	256.714285714286	0	3	3
727484.791666667	102	30.6412623635445	15.8021039856447	9.70390985184446	39.8879867836669	11.977655591222	0.614089735180828	50.8921568627451	31.7450980392157	249892.156862745	608254.901960784	1991	10	13	19	0	15	10.2857142857143	261	0	3	3
727484.795138889	38	-6.34396884296365	9.31578827401388	6.91653339258709	46.1679086293008	15.8508412044337	0.742452832669089	53.2894736842105	27.8947368421053	252289.473684211	612105.263157895	1991	10	13	19	5	15	10.7142857142857	261	0	3	3
727484.805555556	18	22.9797720140441	6.90108963085715	3.48961760694183	12.6651695115353	7.87229151351667	0.505661829305701	20.3333333333333	48.3888888888889	219333.333333333	591611.111111111	1991	10	13	19	20	145	14.5714285714286	235.714285714286	0	3	3
727484.815972222	266	25.8066737030268	34.4954996747693	12.5106701926036	210.471371416849	60.2010456816197	0.362675430434599	11.6729323308271	30.4548872180451	210672.932330827	609545.112781955	1991	10	13	19	35	145	14.1428571428571	229.714285714286	0	3	3
727485.333333333	24	75.5920397883488	8.42163039021328	4.06455237573347	24.7239746352184	9.77723968653668	0.482632481764678	11.0833333333333	22.8333333333333	210083.333333333	617166.666666667	1991	10	14	8	0	25	10.8	267	0	3	4
727485.336805556	11	-74.9293072239623	4.49690773447605	3.27750029068392	31.1115493158927	17.3868279187368	0.72883423103316	12.9090909090909	21.6363636363636	211909.090909091	618363.636363636	1991	10	14	8	5	25	10.8	267	0	3	4
727485.340277778	8	0	4.61880215351701	2.3094010767585	29.2089830892398	19.7046485852089	0.5	14.5	20.5	213500	619500	1991	10	14	8	10	25	9	270.75	0	3	4
